Year,WeekOfYear,weekOfMonth,MonthOfYear,cloud_cover,sunshine,global_radiation,max_temp,mean_temp,min_temp,precipitation,pressure,snow_depth,Aloo Chaat,Aloo Gobi,Aloo Methi,Baingan Hari Mirch,Bengal Fish Biryani,Bengal Fish Karahi,Bengal Fry Fish,Bengal King Prawn,Bengal Salad,Bhindi Bhajee,Bhuna,Bombay Aloo,Brinjal Bhajee,Butter Chicken,Cauliflower Bhajee,Chana Masala,Chapati,Chicken Achar,Chicken Balti,Chicken Biryani,Chicken Chaat,Chicken Chilli Garlic,Chicken Hari Mirch,Chicken Haryali,Chicken Karahi,Chicken Mysore,Chicken Pakora,Chicken Rezala,Chicken Roshni,Chicken Shashlick,Chicken Shashlick Curry,Chicken Sylhet,Chicken Tikka,Chicken Tikka (Main),Chicken Tikka Balti,Chicken Tikka Biryani,Chicken Tikka Chilli Masala,Chicken Tikka Garlic,Chicken Tikka Jalfrezi,Chicken Tikka Jeera,Chicken Tikka Karahi,Chicken Tikka Masala,Chicken Tikka Pasanda,Chicken Tikka Sizzler,COBRA (330ML),COBRA (660ML),Coke 1.5 ltr,Curry,Curry Sauce,Dall Samba,Dhansak,Dhansak Sauce,Diet Coke 1.5 ltr,Dupiaza,Egg Paratha,Egg Rice,French Fries,Garlic Naan,Garlic Rice,Green Salad,Hazary Lamb,Hazary Lamb Chilli Garlic,House Red wine 75cl,House white wine 75cl,Keema Naan,Keema Rice,King Prawn Balti,King Prawn Biryani,King Prawn Butterfly,King Prawn Hari Mirch,King Prawn Karahi,King Prawn Puree,King Prawn Shaslick,Korma,Korma Sauce,Kulcha Naan,Lal Mirch Chicken,Lal Mirch Lamb,Lamb Achar,Lamb Balti,Lamb Biryani,Lamb Chilli Garlic,Lamb Hari Mirch,Lamb Haryali,Lamb Karahi,Lamb Mysore,Lamb Rezala,Lamb Roshni,Lamb Shashlick,Lamb Shashlick Curry,Lamb Sylhet,Lamb Tikka,Lamb Tikka (Main),Lamb Tikka Balti,Lamb Tikka Biryani,Lamb Tikka Chilli Masala,Lamb Tikka Garlic,Lamb Tikka Jalfrezi,Lamb Tikka Jeera,Lamb Tikka Karahi,Lamb Tikka Masala,Lamb Tikka Pasanda,Lamb Tikka Sizzler,Lemon Rice,Lemonade 1.5 ltr,Lime Pickle,Madras,Madras Sauce,Mango Chutney,Masala Sauce,Meat Samosa,Methi,Mint Sauce,Mixed Starter,Mixed Vegetable Curry,Mushroom,Mushroom Bhajee,Mushroom Rice,Muttar Paneer,Onion Bhajee,Onion Chutney,Onion Naan,Onion Rice,Paneer Shaslick,Paneer Tikka Balti,Paneer Tikka Karahi,Paneer Tikka Masala,Paneer Tikka Sizzler,Paratha,Pathia,Persian Chicken Biryani,Persian Lamb Biryani,Peshwari Naan,Pilau Rice,Plain Naan,Plain Papadum,Plain Rice,Prawn Balti,Prawn Biryani,Prawn Karahi,Prawn Puree,Prier Water (750ml),Puree,Raitha,Red Sauce,Rogon,Royal Paneer,Saag,Saag Aloo,Saag Bhajee,Saag Dall,Saag Paneer,Saag Rice,Sheek Kebab,Sheek Kebab (Main),Special Fried Rice,Spicy Papadum,Still Water (750ml),Stuffed Paratha,Tandoori Chicken (1/4),Tandoori Chicken (Main),Tandoori Chicken Masala,Tandoori Fish,Tandoori Fish (Main),Tandoori King Prawn Garlic,Tandoori King Prawn Masala,Tandoori Mixed Grill,Tandoori Roti,Tarka Dall,Vegetable Balti,Vegetable Biryani,Vegetable Karahi,Vegetable Mysore,Vegetable Rice,Vegetable Roll,Vindaloo,Vindaloo Sauce,Grand Total
2017,44,1,10,4.088161209,4.208564232,67.40050378,15.78740554,12.50906801,8.677833753,0.063476071,102585.7431,0,,2,,,1,,,,1,1,11,12,1,3,1,4,12,1,2,1,2,,1,,,,2,1,,3,,,1,3,2,4,5,3,2,,1,9,,3,,4,,6,1,2,2,,1,4,,1,1,17,1,,,1,,,7,4,,2,,,1,1,1,22,1,1,,,,,3,,2,,1,,,,2,,1,,,1,1,,,1,,,1,1,1,,1,2,8,1,13,2,5,2,14,4,,,2,7,,9,6,1,1,,,,2,,1,4,1,,9,37,41,69,17,,1,,3,,1,,4,,1,3,4,3,1,6,1,4,,4,4,,2,,,2,,,,,,2,1,,1,1,1,,,,,389
2017,45,2,11,4.916049383,2.43654321,48.54814815,12.96864198,9.664444444,5.718271605,1.208888889,101536.6173,0,1,2,,,,,1,,,,3,7,1,6,1,6,15,,3,4,1,,,,3,2,,,,4,,1,3,3,1,6,2,1,3,,,16,3,,3,1,4,5,,,1,1,1,,,1,6,15,1,2,,,,,9,5,,1,,,,1,2,12,,,1,1,,1,8,,1,,1,,,,,,,2,,1,3,1,1,1,,,1,1,,1,2,1,12,1,17,1,6,,12,5,1,1,,12,1,20,8,1,3,,,,2,1,6,1,,,8,32,28,54,11,,1,,4,,5,3,5,3,1,1,7,2,1,2,,3,,2,6,,,3,5,2,1,,,,4,2,3,,1,1,,1,,1,1,443
2017,46,3,11,6.237467018,2.139841689,41.59102902,10.35646438,8.653298153,5.801583113,3.570976253,101762.533,0,,1,,,,1,,,,,9,12,1,3,,,9,,3,3,2,,1,,2,,,1,,1,,,3,1,,1,2,,3,,1,11,3,,1,,1,8,1,,7,,1,2,1,3,3,21,4,,,1,,,6,3,,1,1,,,,1,16,2,1,,,,,4,,,,,,,,,1,,1,1,,1,,,,,,,,,1,,2,9,,12,1,4,,9,3,,1,1,12,,15,9,1,,1,2,1,1,,4,5,,,5,34,23,45,19,,,,,,,3,2,2,4,1,4,1,1,5,1,4,,5,7,,,3,1,2,1,,,,7,3,6,2,1,,1,1,1,1,1,470
2017,47,4,11,5.570815451,2.285407725,36.66309013,10.99978541,7.075536481,3.319527897,1.263948498,102499.0773,0,,4,,1,,,,,,2,5,9,,4,2,4,14,,1,2,,,1,2,4,2,3,1,,6,2,,5,3,1,5,,1,3,,3,16,1,1,,3,2,8,,1,5,1,,,1,3,4,22,,,,1,1,,7,6,,,,,,,1,13,2,3,,,,,4,,,,1,,,,,1,,2,2,,3,1,,2,,,,1,,3,1,2,7,1,13,,6,,13,5,1,,1,10,,25,9,2,2,,1,1,,3,1,4,1,,7,38,40,42,21,1,2,1,2,,2,2,5,2,,4,7,2,1,2,3,3,4,5,1,,1,2,2,2,1,,1,,4,3,3,,1,2,,1,1,3,,401
2017,48,1,11,5.143162393,2.994017094,37.57905983,10.49230769,7.290811966,4.344871795,0.670512821,101079.359,0,,4,,2,,,,1,,2,12,7,1,8,1,3,10,,3,2,1,1,1,1,2,3,3,2,1,1,3,1,2,2,,3,3,2,6,,1,16,1,2,,3,1,7,1,,5,,1,2,,5,3,24,,,,,,1,8,1,,2,1,,,,,17,,,,,,,8,,,1,2,1,1,,,,,2,,,,,,,,,3,1,1,,1,1,14,1,15,,6,,6,3,2,,5,12,1,19,7,2,1,,,1,2,1,5,1,,,13,41,33,55,18,,1,,4,1,,,4,4,,8,12,2,1,5,1,6,,6,12,,1,1,6,1,,1,,,1,4,2,,1,1,,3,,5,,470
2017,49,2,12,6.71875,1.16640625,22.515625,8.52109375,4.963541667,2.0859375,0.218229167,102097.5781,0,1,,,,,,,2,,,7,13,1,4,3,1,17,,2,4,7,1,1,,,,1,1,,2,1,,2,3,4,2,4,2,3,,,14,2,1,1,,2,2,2,,6,,4,2,,1,,17,,2,,1,2,,8,6,,,1,,,,2,11,,1,,,,,5,,,,,,,,,,,,2,,3,1,,,,1,1,,,,2,,7,2,14,1,8,1,14,2,,,2,10,2,19,12,,,,,,1,,,1,,,5,30,26,55,14,,2,2,2,,2,2,5,2,1,5,4,1,2,1,,6,,4,4,,,,2,,,,,1,3,,3,,1,,,1,4,1,2,432
2017,50,2,12,4.363128492,2.40707635,28.57541899,4.918994413,4.091992551,2.210614525,5.020111732,101441.7132,0.122905028,1,6,,,,,,1,1,,8,13,1,2,,3,15,,1,10,1,,,1,2,,1,1,,3,2,1,3,4,2,3,4,,4,,,26,2,2,,5,1,7,,,3,1,1,4,1,1,1,31,,2,,2,1,1,7,5,,2,1,1,,1,3,15,1,1,,,,1,5,2,,,1,,,1,,1,,1,,,1,,,1,,,1,2,,2,3,2,13,,20,,8,,17,5,4,,1,14,,27,12,1,1,3,,2,1,,5,2,,,13,54,34,84,18,1,,,2,,1,2,4,5,,7,8,1,1,5,3,7,,4,9,,,1,6,2,1,1,,,6,12,4,,2,1,1,,4,5,4,370
2017,51,3,12,4.584586466,1.683458647,23.77631579,8.018421053,3.456954887,-0.646052632,2.693233083,100923.0075,0,3,5,,2,,,,,2,2,12,12,,7,2,4,16,,1,8,1,1,4,1,2,,2,1,,2,,,3,6,4,4,2,,2,,,28,3,,,,2,9,,1,7,1,1,1,1,3,2,25,2,1,2,1,2,1,11,4,,,1,,,,1,18,2,2,,,,2,5,1,1,,2,1,1,,,,,1,,1,1,,2,,,,,,,1,,6,18,2,16,1,4,,17,2,,2,2,6,,20,8,3,1,2,1,,1,,,1,1,,17,42,39,98,22,,,1,6,,,3,6,2,1,5,13,2,1,,,2,2,9,17,,,2,3,,1,,1,,9,5,2,,2,,,,4,3,1,548
2017,52,4,12,6.694055944,0.928321678,18.02622378,10.69895105,7.85034965,5.28006993,0.124475524,103274.3881,0,1,3,,3,,,,3,,1,11,15,1,7,1,2,9,1,1,4,1,,1,,,,2,,,3,1,,2,7,2,6,4,4,6,,,29,1,1,,2,1,4,,,5,1,2,4,,7,3,32,,,,,,,30,7,,1,1,1,,2,,19,1,,,1,,1,5,1,,2,,1,,,1,2,1,2,,1,4,1,,,1,,,2,,4,2,3,14,,22,1,8,,14,4,1,,6,19,1,14,7,3,5,,,1,3,,4,6,,1,16,46,42,95,24,,,1,3,,4,,8,1,,4,11,4,,5,1,4,2,3,7,,1,1,4,3,2,1,,1,6,2,6,1,2,,,4,3,3,1,442
2017,53,5,12,6.136116152,0.927041742,19.46098004,9.700907441,7.505444646,4.193829401,4.035208711,99572.28675,0,,,,1,,,,,,1,7,17,1,10,,,24,1,1,4,4,,3,,1,,4,,,2,2,1,4,11,,3,4,,1,,,25,1,,,1,2,10,3,1,3,,,2,,2,2,31,2,,,1,,,16,4,,,2,,,2,1,25,1,3,,1,,2,12,,,1,,,1,,,,1,3,1,,1,1,,1,,,4,,,,2,2,13,2,23,4,5,,12,6,,2,1,19,2,21,12,1,1,1,3,1,,1,1,2,,,11,61,57,83,22,,,,3,,2,2,7,4,1,4,11,3,1,6,2,8,,9,8,,1,,3,5,2,1,,1,7,1,5,,1,,1,,3,4,,489
