Year,WeekOfYear,weekOfMonth,MonthOfYear,cloud_cover,sunshine,global_radiation,max_temp,mean_temp,min_temp,precipitation,pressure,snow_depth,Aloo Chaat,Aloo Gobi,Aloo Methi,Baingan Hari Mirch,Bengal Fish Biryani,Bengal Fish Karahi,Bengal Fry Fish,Bengal King Prawn,Bengal Salad,Bhindi Bhajee,Bhuna - Chicken,Bhuna - Chicken Tikka,Bhuna - King Prawn,Bhuna - Lamb,Bhuna - Prawn,Bombay Aloo,Bottle Coke,Bottle Diet Coke,Brinjal Bhajee,Butter Chicken,Cauliflower Bhajee,Chana Masala,Chapati,Chicken Achar,Chicken Balti,Chicken Biryani,Chicken Chaat,Chicken Chilli Garlic,Chicken Hari Mirch,Chicken Haryali,Chicken Karahi,Chicken Mysore,Chicken Pakora,Chicken Rezala,Chicken Roshni,Chicken Shashlick,Chicken Shashlick Curry,Chicken Sylhet,Chicken Tikka,Chicken Tikka (Main),Chicken Tikka Balti,Chicken Tikka Biryani,Chicken Tikka Chilli Masala,Chicken Tikka Garlic,Chicken Tikka Jalfrezi,Chicken Tikka Jeera,Chicken Tikka Karahi,Chicken Tikka Masala,Chicken Tikka Pasanda,Chicken Tikka Sizzler,COBRA ( LARGE ),COBRA (330ML),Curry - Chicken,Curry - Chicken Tikka,Curry - King Prawn,Curry - Lamb,Curry - Prawn,Curry Sauce,Dall Samba,Dhansak - Chicken,Dhansak - Chicken Tikka,Dhansak - King Prawn,Dhansak - Lamb,Dhansak - Prawn,Dhansak Sauce,Dupiaza - Chicken,Dupiaza - Chicken Tikka,Dupiaza - King Prawn,Dupiaza - Lamb,Dupiaza - Prawn,Egg Paratha,Egg Rice,French Fries,Garlic Naan,Garlic Rice,Green Salad,Hazary Lamb,Hazary Lamb Chilli Garlic,House Red wine 75cl,House white wine 75cl,Keema Naan,Keema Rice,King Prawn Balti,King Prawn Biryani,King Prawn Butterfly,King Prawn Hari Mirch,King Prawn Karahi,King Prawn Puree,King Prawn Shaslick,Korma - Chicken,Korma - Chicken Tikka,Korma - King Prawn,Korma - Lamb,Korma - Prawn,Korma Sauce,Kulcha Naan,Lal Mirch Chicken,Lal Mirch Lamb,Lamb Achar,Lamb Balti,Lamb Biryani,Lamb Chilli Garlic,Lamb Hari Mirch,Lamb Haryali,Lamb Karahi,Lamb Mysore,Lamb Rezala,Lamb Roshni,Lamb Shashlick,Lamb Shashlick Curry,Lamb Sylhet,Lamb Tikka,Lamb Tikka (Main),Lamb Tikka Balti,Lamb Tikka Biryani,Lamb Tikka Chilli Masala,Lamb Tikka Garlic,Lamb Tikka Jalfrezi,Lamb Tikka Jeera,Lamb Tikka Karahi,Lamb Tikka Masala,Lamb Tikka Pasanda,Lamb Tikka Sizzler,Lemon Rice,Lemonade 1.5 ltr,Lime Pickle,Madras - Chicken,Madras - Chicken Tikka,Madras - King Prawn,Madras - Lamb,Madras - Prawn,Madras Sauce,Mango Chutney,Masala Sauce,Meat Samosa,Methi - Chicken,Methi - Chicken Tikka,Methi - Lamb,Mint Sauce,Mixed Starter,Mixed Vegetable Curry,Mushroom - Chicken,Mushroom - Chicken Tikka,Mushroom - King Prawn,Mushroom - Lamb,Mushroom Bhajee,Mushroom Rice,Muttar Paneer,Onion Bhajee,Onion Chutney,Onion Naan,Onion Rice,Paneer Shaslick,Paneer Tikka Balti,Paneer Tikka Karahi,Paneer Tikka Masala,Paneer Tikka Sizzler,Paratha,Pathia - Chicken,Pathia - Chicken Tikka,Pathia - King Prawn,Pathia - Lamb,Pathia - Prawn,Perrier Water (750ml),Persian Chicken Biryani,Persian Lamb Biryani,Peshwari Naan,Pilau Rice,Plain Naan,Plain Papadum,Plain Rice,Prawn Balti,Prawn Biryani,Prawn Karahi,Prawn Puree,Puree,Raitha,Red Sauce,Rogon - Chicken,Rogon - Chicken Tikka,Rogon - King Prawn,Rogon - Lamb,Royal Paneer,Saag - Chicken,Saag - Chicken Tikka,Saag - King Prawn,Saag - Lamb,Saag - Prawn,Saag Aloo,Saag Bhajee,Saag Dall,Saag Paneer,Saag Rice,Sheek Kebab,Sheek Kebab (Main),Special Fried Rice,Spicy Papadum,Still Water (750ml),Stuffed Paratha,Tandoori Chicken (1/4),Tandoori Chicken (Main),Tandoori Chicken Masala,Tandoori Fish,Tandoori Fish (Main),Tandoori King Prawn Garlic,Tandoori King Prawn Masala,Tandoori Mixed Grill,Tandoori Roti,Tarka Dall,Vegetable Balti,Vegetable Biryani,Vegetable Karahi,Vegetable Mysore,Vegetable Rice,Vegetable Roll,Vindaloo - Chicken,Vindaloo - Chicken Tikka,Vindaloo - King Prawn,Vindaloo - Lamb,Vindaloo - Prawn,Vindaloo Sauce,Grand Total
2019,11,2,3,6.945595855,1.845854922,73.69948187,5.327720207,4.924870466,2.904663212,2.493264249,100229.6373,0.336787565,2,4,,1,1,,,1,,2,2,3,,4,2,8,2,1,3,8,2,1,19,,4,3,2,1,,,3,,2,,,1,,,5,8,2,5,3,,4,,,14,3,,,,11,2,,1,3,2,1,2,,,2,,,3,,,,,,5,5,25,,2,1,,,,7,3,,,,2,,2,,17,,,,,1,,,,,,3,1,1,,,2,1,,,,,,1,,1,,,1,,1,1,,,1,,1,5,2,,8,,1,15,3,12,1,,,11,5,1,1,,,,3,10,,25,12,3,,,1,2,1,,4,,,,1,,,,,17,51,34,84,17,,,,2,1,3,4,,,,1,4,1,1,,1,,5,1,,4,1,4,,2,6,,,,,1,,,2,2,7,6,3,,4,,1,2,2,6,,,1,,,481
2019,12,3,3,6.598404255,2.978723404,97.49202128,11.48138298,6.892021277,3.724202128,0.412765957,101106.0904,0,5,2,,4,,,,1,,3,2,1,,3,1,18,4,,2,8,2,4,13,1,1,3,7,2,1,,1,1,1,,,1,1,,7,12,6,2,,2,5,,1,19,,1,2,3,9,2,,2,,5,,2,,,,,,5,,,,,1,4,4,25,1,1,,1,1,1,16,1,,,1,1,,2,,14,2,,1,,,1,,2,,5,7,,1,,1,1,,,,,1,1,1,,6,1,,1,,,1,,,1,1,5,8,3,,3,,,21,2,15,,,,17,5,1,,,,,4,12,2,24,7,2,1,2,1,,3,,1,1,,,1,,1,,1,16,58,28,93,26,,,,2,,1,5,1,,,,3,2,,,1,1,13,1,2,6,1,4,,7,8,1,1,2,2,1,,1,2,,9,3,6,1,3,,,1,2,4,,2,1,,1,467
2019,13,5,3,7.219570406,1.810501193,90.32935561,10.31121718,6.745346062,3.616706444,7.126491647,100295.3461,0,5,4,1,4,,,,,,1,8,4,,1,1,14,3,,1,10,2,2,14,,5,4,4,1,1,1,1,2,1,,,2,,,7,7,1,4,3,,4,1,1,27,5,2,,1,9,2,,4,2,,1,3,1,,1,2,2,1,1,,,,2,3,4,38,1,,,2,,,7,4,,,1,2,,,1,21,1,,2,2,3,,,1,,1,7,,,,1,2,1,,,,,3,2,1,2,,,1,,,3,2,,4,,6,6,4,,,1,,23,2,23,,,,19,5,1,,,1,,1,18,1,44,13,,5,,1,1,5,,5,,,,,,,3,,19,49,50,128,27,2,,,3,,2,8,,2,,3,2,1,,1,4,,4,1,1,10,2,3,,12,8,,1,2,5,,1,,2,2,6,7,2,2,7,,1,7,3,3,,2,,1,2,499
2019,14,1,4,5.536299766,3.362997658,116.6323185,13.47002342,10.49508197,6.487119438,2.385948478,100569.6019,0,1,3,2,1,,,,3,,1,5,2,,1,,15,4,1,3,2,3,2,15,,5,5,6,3,1,,1,,,2,1,3,1,,5,6,2,7,3,1,3,1,3,20,2,,,,8,2,1,1,,1,,1,,1,2,,,5,,,,,,3,6,25,,1,2,,,,18,2,,1,,,,,2,22,1,1,1,,1,1,,,,3,5,,1,1,3,3,1,,,1,2,2,2,,1,,,1,,,4,,,,1,4,8,2,,2,,,13,1,8,,,,12,5,2,,,,,1,14,,13,6,4,1,,,1,3,1,3,1,1,,,,,3,,11,42,32,68,26,,,,4,,5,4,2,,,1,3,1,,,5,,7,3,1,7,4,5,,2,5,,,,2,1,,1,1,,3,6,6,1,1,,1,9,2,5,,,,,,523
2019,15,2,4,6.725925926,2.69037037,108.7283951,16.06444444,11.19703704,7.364938272,1.120493827,100949.7531,0,2,4,1,2,,,,,,3,4,2,,3,,14,3,1,1,9,4,1,5,,6,5,2,3,,,,1,,2,2,2,,,6,5,,1,1,2,3,,1,17,2,1,,,9,4,,,,,1,6,2,,,,,4,,,1,,1,3,4,15,,2,,,,,11,4,,,,,,3,1,20,,,1,1,3,1,,,1,1,7,1,1,,,1,1,,,,,1,2,,1,,,6,,,3,1,,,,4,8,1,1,2,,1,21,,6,,,,17,5,4,,,1,,5,14,1,20,9,1,,1,,,6,,6,,1,,1,,1,1,1,14,50,33,87,27,1,1,,1,1,2,2,,,,,6,3,1,,2,2,11,3,,3,1,7,,3,3,1,,4,1,1,,,1,1,4,5,4,,2,,1,12,2,3,,,,,,515
2019,16,3,4,2.824295011,8.638611714,214.9002169,22.80477223,17.23036876,10.95813449,3.068980477,101901.0629,0,,4,,1,,1,,,,1,4,1,1,1,,17,2,2,1,6,4,,7,,3,5,7,,1,1,2,,1,1,1,2,,,5,5,2,6,4,1,1,1,1,16,4,,2,2,4,4,,2,,,1,6,1,,1,,1,7,,,1,,,3,3,23,1,2,1,,,,13,1,,1,3,,,2,,20,,,1,,2,,,1,,6,4,,1,,2,1,,3,,,1,1,,,,,,2,,,,,,2,2,4,4,3,1,3,1,,30,1,4,1,,,18,3,3,,,,,,11,,22,7,1,4,,1,,6,3,4,6,,,,,,1,,23,38,35,98,25,1,,1,6,,,6,,,2,,6,1,,1,,1,10,2,,2,3,,3,8,9,,1,1,7,4,,1,3,,6,3,4,,4,,,5,3,3,,,,1,,567
2019,17,4,4,6.929577465,1.595774648,100.1690141,13.73943662,10.54366197,8.273239437,1.087323944,101247.3239,0,1,4,,4,2,,,,,3,3,1,1,2,,17,1,,1,8,,2,19,,10,6,6,,1,,,,6,,1,5,,,10,4,1,3,,2,4,,1,27,2,,,,3,1,,1,,,,8,1,,2,,2,5,1,,,2,,4,3,19,4,,1,,,,11,3,,,2,,,1,5,12,,,,,,4,1,1,1,,3,,,1,,1,1,1,,,,4,1,,1,1,,2,,,,1,,3,,4,4,1,,2,,1,18,2,10,,,1,18,1,7,,,,,2,9,1,18,6,2,4,,,2,1,,5,1,,,1,,,2,,16,42,46,85,23,,1,,2,,1,6,,,,2,2,,2,2,3,,5,,,5,,5,,6,4,,1,4,3,4,1,,1,,11,4,4,1,3,,2,3,3,3,,,,1,,371
2019,18,1,4,0.26910299,13.29933555,295.2990033,25.93820598,15.3269103,7.889036545,0,102429.6013,0,1,7,,3,,,,1,,3,2,2,,3,,18,2,,2,10,1,5,20,,3,7,3,4,1,1,5,1,1,1,1,1,2,2,8,3,3,4,5,,5,,,19,2,1,,,9,,,,4,,3,2,3,1,4,,1,5,,,,,,2,8,29,,1,,1,1,,12,1,,,1,,,1,,27,1,,,1,1,4,1,1,1,2,2,1,1,,,,,,3,1,1,1,2,,2,,,,1,1,1,,2,3,,5,10,1,1,3,,,29,3,11,,,,15,4,2,2,,,1,3,21,1,21,19,4,3,1,,2,4,,2,5,1,,,,,1,1,12,54,41,97,35,,2,,6,3,2,6,,,,1,1,1,,,3,,14,2,,7,3,1,,7,11,,1,,6,3,1,3,2,,5,4,3,,3,,,6,1,6,,1,2,,1,301
2019,19,2,5,4.760435572,5.654083485,190.2595281,18.94882033,13.81814882,9.02831216,2.701633394,101407.7132,0,5,5,2,3,1,,,3,,3,3,2,,3,,16,3,3,2,7,3,5,14,,3,3,3,3,1,1,1,2,2,1,2,,,,9,8,2,5,,2,7,,2,22,2,4,1,,7,4,,5,,,1,4,1,,1,1,1,3,,,,,,3,5,15,1,1,,1,,,19,5,,,,1,,1,1,25,,,,1,2,1,,1,,3,11,1,2,,,,1,,1,1,,,1,,1,,1,1,,,,,,2,1,3,7,1,1,1,,1,14,1,19,,,,12,4,3,,,,1,3,17,1,33,5,4,3,,2,1,2,,6,2,3,,,1,,,,15,47,38,96,20,,,,5,,1,3,,1,,1,3,3,1,1,,,7,3,2,7,1,2,,5,7,,2,1,3,2,2,1,3,,4,4,3,,4,1,,10,4,3,,,1,,1,659
2019,20,3,5,1.882783883,11.50622711,172.2234432,20.54908425,13.96373626,8.085347985,0,102417.7289,0,10,2,,2,2,,,2,,1,5,1,,2,1,22,5,,1,7,1,5,15,,6,4,4,2,1,,1,1,3,,,6,,1,5,13,3,3,,1,4,,2,27,,1,5,1,17,5,,4,,1,1,2,3,,2,,,4,2,,,,1,5,12,28,1,1,1,,,,14,1,,1,,2,,,2,25,1,1,,,1,1,,,1,3,4,1,2,,1,,,,,,,2,1,,,1,,2,,1,,,,1,1,1,13,2,1,4,,1,33,2,34,,,1,6,5,1,,,,,2,10,,26,12,6,4,1,1,1,3,,4,1,,1,1,,,,1,12,73,53,97,33,,,,1,4,1,,2,,,1,,,,,2,,14,,4,9,1,3,,9,2,,1,1,6,2,1,,2,1,11,2,3,2,9,,1,5,5,3,1,,1,,4,336
2019,21,4,5,5.670353982,6.061283186,192.2455752,24.67455752,18.0909292,12.73893805,5.261946903,101827.6991,0,3,7,1,1,1,,,,1,2,2,2,,2,2,17,1,,1,13,2,,12,,2,6,5,3,1,1,1,,3,,2,4,,1,9,7,2,5,2,,2,,2,9,3,2,1,,9,4,,2,,,1,3,,1,1,,1,2,,,2,,,2,6,30,3,,2,1,,,16,5,1,1,,,,,,18,,,1,,2,4,,,,2,9,,1,,1,,,,1,,,4,2,,2,1,1,2,,,,1,,5,3,4,9,3,1,1,,,21,3,7,1,,,20,5,2,,1,,,,12,,18,8,4,3,1,,,4,,3,4,,,1,,,,,16,38,33,75,19,,,,9,,4,6,1,,,2,1,2,,,1,,7,3,3,5,,4,,7,6,3,1,,5,2,,,3,1,5,4,3,,5,,1,3,3,1,,,,,3,528
2019,22,4,5,5.367063492,3.887301587,170.7222222,22.91825397,18.80198413,14.48194444,1.177777778,101678.7103,0,4,4,1,4,,,,,1,1,1,2,,2,,14,1,2,1,7,2,2,17,1,5,5,1,,3,,2,2,1,,,2,1,,4,7,1,4,,,9,,1,13,5,,,,6,2,,4,1,1,,5,,,2,1,1,6,,1,3,,,1,4,30,3,1,,1,1,,8,2,,,,1,,2,1,16,,,,,2,1,1,,1,2,,,,,1,2,1,,1,,,,1,,3,,,,,,2,,,3,2,2,10,,,2,2,2,15,3,11,,1,,13,9,1,,,,,,10,,17,8,2,3,,2,2,,1,2,1,,,,,,,2,17,56,47,88,23,,1,,2,1,3,5,2,,,2,4,,1,,2,,7,1,,3,4,4,,10,3,1,2,1,2,2,,,2,,2,2,2,,4,,,3,2,2,,1,2,,,622
