Year,WeekOfYear,weekOfMonth,MonthOfYear,cloud_cover,sunshine,global_radiation,max_temp,mean_temp,min_temp,precipitation,pressure,snow_depth,Cauliflower Bhajee,Chicken Pakora,Chicken Sylhet,Chicken Tikka,COBRA (330ML),COBRA (660ML),Coke 1.5 ltr,House Red wine 75cl,Kurma,Lamb Persian,Lemon Rice,Lime Pickle,Mint Sauce,Onion Bhaji,Onion Chutney,Paratha,Prawn Puree,Royal Paneer,Sheek Kehab,Spicy Papadum,Tandoori Chicken,Tandoori Chicken (1/4),Tandoori Fish,Vegetable Balti,Vegetable Karahi,Vegetable Samosa,Grand Total
2015,36,1,8,7,3.1,124,19,16.3,13.4,0.2,101780,0,,,,,,,,,,,,,,1,,,,,,,,,,,,,0
2015,37,2,9,6.333333333,1.866666667,96.33333333,20.7,15.23333333,11.83333333,0.266666667,102456.6667,0,,,,,,,,,,,,,,9,,,,,,,,,,,,,0
2015,40,1,9,0.448275862,10.4137931,158.9827586,18.17068966,14.09655172,9.274137931,0,102966.7241,0,1,1,1,4,1,1,1,1,1,1,1,1,1,10,1,2,1,2,2,1,1,7,10,1,1,15,0
