countryOrRegion,holidayName,normalizeHolidayName,isPaidTimeOff,countryRegionCode,date,weekOfYear
United Kingdom,"Easter Monday [England, Wales, Northern Ireland]",Easter Monday,TRUE,GB,2015/04/06,15
United Kingdom,May Day,May Day,TRUE,GB,2015/05/04,19
United Kingdom,Spring Bank Holiday,Spring Bank Holiday,TRUE,GB,2015/05/25,22
United Kingdom,Battle of the Boyne [Northern Ireland],Battle of the Boyne,FALSE,GB,2015/07/12,29
United Kingdom,Summer Bank Holiday [Scotland],Summer Bank Holiday,FALSE,GB,2015/08/03,32
United Kingdom,"Late Summer Bank Holiday [England, Wales, Northern Ireland]",Late Summer Bank Holiday,TRUE,GB,2015/08/31,36
United Kingdom,St. Andrew's Day [Scotland],St. Andrew's Day,FALSE,GB,2015/11/30,49
United Kingdom,Christmas Day,Christmas Day,TRUE,GB,2015/12/25,52
United Kingdom,Boxing Day,Boxing Day,TRUE,GB,2015/12/26,52
United Kingdom,Boxing Day (Observed),Boxing Day,TRUE,GB,2015/12/28,53
United Kingdom,New Year's Day,New Year's Day,TRUE,GB,2016/01/01,1
United Kingdom,New Year Holiday [Scotland],New Year Holiday,TRUE,GB,2016/01/02,1
United Kingdom,New Year Holiday [Scotland] (Observed),New Year Holiday,TRUE,GB,2016/01/04,2
United Kingdom,St. Patrick's Day [Northern Ireland],St. Patrick's Day,FALSE,GB,2016/03/17,12
United Kingdom,Good Friday,Good Friday,TRUE,GB,2016/03/25,13
United Kingdom,"Easter Monday [England, Wales, Northern Ireland]",Easter Monday,TRUE,GB,2016/03/28,14
United Kingdom,May Day,May Day,TRUE,GB,2016/05/02,19
United Kingdom,Spring Bank Holiday,Spring Bank Holiday,TRUE,GB,2016/05/30,23
United Kingdom,Battle of the Boyne [Northern Ireland],Battle of the Boyne,FALSE,GB,2016/07/12,29
United Kingdom,Summer Bank Holiday [Scotland],Summer Bank Holiday,FALSE,GB,2016/08/01,32
United Kingdom,"Late Summer Bank Holiday [England, Wales, Northern Ireland]",Late Summer Bank Holiday,TRUE,GB,2016/08/29,36
United Kingdom,St. Andrew's Day [Scotland],St. Andrew's Day,FALSE,GB,2016/11/30,49
United Kingdom,Christmas Day,Christmas Day,TRUE,GB,2016/12/25,53
United Kingdom,Boxing Day,Boxing Day,TRUE,GB,2016/12/26,53
