Year,WeekOfYear,weekOfMonth,MonthOfYear,cloud_cover,sunshine,global_radiation,max_temp,mean_temp,min_temp,precipitation,pressure,snow_depth,Aloo Chaat,Aloo Gobi,Aloo Methi,Baingan Hari Mirch,Bengal Fish Biryani,Bengal Fish Karahi,Bengal Fry Fish,Bengal King Prawn,Bengal Salad,Bhindi Bhajee,Bhuna,Bombay Aloo,Brinjal Bhajee,Butter Chicken,Cauliflower Bhajee,Chana Masala,Chapati,Chicken Achar,Chicken Balti,Chicken Biryani,Chicken Chaat,Chicken Chaat Main,Chicken Hari Mirch,Chicken Haryali,Chicken Karahi,Chicken Mysore,Chicken Pakora,Chicken Rezala,Chicken Roshni,Chicken Shashlick,Chicken Shashlick Curry,Chicken Sylhet,Chicken Tikka,Chicken Tikka (Main),Chicken Tikka Balti,Chicken Tikka Biryani,Chicken Tikka Chilli Masala,Chicken Tikka Garlic,Chicken Tikka Jalfrezi,Chicken Tikka Jeera,Chicken Tikka Karahi,Chicken Tikka Masala,Chicken Tikka Pasanda,Chicken Tikka Sizzler,COBRA (330ML),COBRA (660ML),Coke 1.5 ltr,Curry,Curry Sauce,Dall Samba,Dhansak,Dhansak Sauce,Diet Coke 1.5 ltr,Dupiaza,Egg Paratha,Egg Rice,French Fries,Garlic Naan,Garlic Rice,Green Salad,Hazary Lamb,House Red wine 75cl,House white wine 75cl,Keema Naan,Keema Rice,King Prawn Balti,King Prawn Biryani,King Prawn Butterfly,King Prawn Hari Mirch,King Prawn Karahi,King Prawn Puree,King Prawn Shaslick,Korma,Korma Sauce,Kulcha Naan,Lal Mirch Chicken,Lal Mirch Lamb,Lamb Achar,Lamb Balti,Lamb Biryani,Lamb Hari Mirch,Lamb Haryali,Lamb Karahi,Lamb Mysore,Lamb Rezala,Lamb Roshni,Lamb Shashlick,Lamb Shashlick Curry,Lamb Sylhet,Lamb Tikka,Lamb Tikka (Main),Lamb Tikka Balti,Lamb Tikka Biryani,Lamb Tikka Chilli Masala,Lamb Tikka Garlic,Lamb Tikka Jalfrezi,Lamb Tikka Karahi,Lamb Tikka Masala,Lamb Tikka Pasanda,Lamb Tikka Sizzler,Lemon Rice,Lemonade 1.5 ltr,Lime Pickle,Madras,Madras Sauce,Mango Chutney,Masala Sauce,Meat Samosa,Methi,Mint Sauce,Mixed Starter,Mixed Vegetable Curry,Mushroom,Mushroom Bhajee,Mushroom Rice,Muttar Paneer,Onion Bhajee,Onion Chutney,Onion Naan,Onion Rice,Paneer Shaslick,Paneer Tikka Balti,Paneer Tikka Karahi,Paneer Tikka Masala,Paneer Tikka Sizzler,Paratha,Pathia,Persian Chicken Biryani,Persian Lamb Biryani,Peshwari Naan,Pilau Rice,Plain Naan,Plain Papadum,Plain Rice,Prawn Balti,Prawn Biryani,Prawn Karahi,Prawn Puree,Prier Water (750ml),Puree,Raitha,Red Sauce,Rogon,Royal Paneer,Saag,Saag Aloo,Saag Bhajee,Saag Dall,Saag Paneer,Saag Rice,Sheek Kebab,Sheek Kebab (Main),Sheek Kehab,Special Fried Rice,Spicy Papadum,Still Water (750ml),Stuffed Paratha,Tandoori Chicken (1/4),Tandoori Chicken (Main),Tandoori Chicken Masala,Tandoori Fish,Tandoori Fish (Main),Tandoori King Prawn Garlic,Tandoori King Prawn Masala,Tandoori Mixed Grill,Tandoori Roti,Tarka Dall,Vegetable Balti,Vegetable Biryani,Vegetable Karahi,Vegetable Mysore,Vegetable Rice,Vegetable Roll,Vindaloo,Vindaloo Sauce,Grand Total
2016,21,3,5,7.012820513,2.499358974,140.1025641,18.53461538,14.83717949,11.36282051,0.78974359,101151.1538,0,1,,,1,,,1,,,,,3,,6,1,1,3,,,5,1,,,,1,,1,,,1,,,2,1,1,,1,,,1,,2,,,1,1,1,5,,,1,,,2,,1,,12,1,1,,2,,3,,,,2,2,,1,,6,,,,2,,1,,1,,,,,,1,1,,,,,,,,,,,1,1,,,,3,,4,,1,,2,2,1,,,4,1,5,2,,,,,,1,,,1,,1,5,5,8,20,10,,1,,1,,,,2,,,,3,,1,,,1,,,1,,,,3,1,1,,,,,1,,1,1,2,2,,2,3,,,
2016,22,4,5,3.892733564,7.675086505,238.7958478,19.38685121,15.19584775,9.773702422,0.103806228,101677.474,0,,1,,1,,,,2,1,,2,9,,4,1,,4,,,7,2,,2,,,,2,,1,3,,,2,3,,2,1,1,1,,,8,,2,1,1,,6,,,2,1,,3,1,1,,16,1,,1,,,5,,,1,,,,1,1,8,1,2,,,,,4,,1,1,,,,1,,,,,,2,,,,,2,,,,,3,5,,10,,3,1,6,2,1,2,2,2,1,11,3,,,1,1,1,,,3,1,,1,8,26,24,38,14,,1,,2,,,3,5,2,3,3,2,1,1,4,1,5,,,2,2,,,1,3,1,1,,,,2,1,5,,,,,,,5,,
2016,23,1,6,7.53894081,0.463862928,90.58878505,17.67009346,13.40809969,10.41028037,1.446728972,101791.0903,0,,4,,1,,1,,,,,4,5,1,6,2,,5,1,,2,3,,,,,,2,1,,1,,,5,7,2,2,1,2,,,1,6,1,1,,2,4,5,,,2,1,1,3,,2,3,10,2,,1,4,,11,3,,,1,,,1,1,9,2,,,,,,,1,,,,2,,1,1,,1,,,,,,1,,1,1,,,,3,8,,12,,4,,10,2,,,2,6,1,16,12,,1,,1,,1,,1,2,,,9,21,17,44,12,,1,,2,,1,2,7,2,,1,5,1,1,1,2,4,2,,3,4,,,,,2,1,,,,1,,1,,2,1,,1,1,3,,
2016,24,2,6,6.076576577,3.637837838,158.0689655,21.89144144,18.5481982,13.82972973,1.763063063,101322.6126,0,1,4,,,,,,,,,4,3,1,5,,1,8,,1,,1,,1,,,,1,,,3,,,6,1,2,1,,4,1,1,,5,1,,,,1,5,,,,1,1,1,,1,1,6,,,,,,10,2,,,3,2,,,2,7,,,,,2,1,1,,,,,,,,,,,,,1,,1,,,1,,,,,2,4,2,6,,3,,7,2,2,,2,6,1,7,4,,,1,,,,,1,,,,6,16,16,29,10,,,1,5,,,,1,,,,5,1,,,2,4,,,1,,,,2,2,,1,,,,3,,1,,2,,,,1,,,
2016,25,3,6,6.692682927,3.107804878,164.0195122,20.16536585,15.97317073,12.28292683,5.455609756,101202.439,0,,2,,,,,,,,,1,5,1,1,2,3,4,,2,1,3,,1,,2,,,,,,,,3,5,3,2,2,,2,,,8,,1,,,,2,,,5,,,1,,1,2,2,1,,,,,9,,,,,,,,,7,1,,,,,,,1,,1,,,,,,,2,,,,,,,,,,,,,1,1,1,4,,2,,4,2,,,1,3,1,12,2,1,,,,,,1,6,1,,,3,17,18,38,11,,1,,1,,2,,2,2,1,2,2,2,1,2,,2,,,1,1,,1,3,,1,,1,,,2,,2,,,,,,1,2,1,
2016,29,3,7,5,6,213,29.4,22.6,17.7,0,102230,0,,,,,,,,,,1,,1,,,,,2,,,,,,,,,,2,,,,,,,,2,,,,,,,2,1,,,,1,2,,,1,,,1,,,1,3,,,,,,2,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,1,1,,,,,,,1,,,,,,,3,6,5,1,,,,,,,,,,,,,,,,,1,,,1,,2,,,,1,,,,,,,,,,1,,,,,,
2016,30,3,7,4.185950413,6.816528926,167.7727273,26.77520661,21.21942149,15.53884298,0.278512397,101788.4711,0,3,2,,,,,,,,1,3,6,,2,,3,5,1,2,4,1,,1,,2,,,,,3,2,,1,2,1,2,4,2,,1,,7,1,1,,1,,2,,,4,,,2,1,2,4,8,3,1,1,1,,3,,,,1,,,,1,4,2,,,,,1,,1,,1,,,,1,1,,2,,2,,,,,,1,,,1,,2,2,2,12,,6,,6,1,1,,2,4,,11,10,1,,,,,3,,1,,,,4,12,23,38,11,,1,,2,,,3,2,,1,2,3,1,1,1,,1,3,,4,3,,1,4,2,1,1,,,,3,2,1,,,,,1,1,1,,
2016,31,5,8,6.604278075,3.665240642,161.7058824,22.02673797,19.1513369,15.11336898,0.263101604,101494.0107,0,2,3,,,,,,,,,2,2,,,,2,5,,1,2,2,,,,,,,,,3,,,3,3,,3,,1,1,,,5,,,1,1,,4,,,2,1,2,1,,,,6,,,,1,1,3,,,1,2,,,,,7,,2,,,,,1,1,,,,,,,,,1,,,,,,,,1,,,1,,1,9,,7,1,3,1,7,1,2,,1,3,,11,6,,1,,1,,1,,,1,1,1,8,14,10,37,13,,1,,,1,,,2,,1,1,,,2,1,,,,,1,,1,,,1,,1,,,,1,,,,3,,,,1,1,,
2016,32,1,8,4.2996633,6.490909091,197.0505051,25.07777778,19.74915825,14.8047138,0.028282828,101671.0774,0,7,1,,1,1,,,,2,,7,5,,7,,1,4,,1,3,,,,,,,2,,,,1,,3,3,,1,1,,4,,,11,,,,,1,7,,,2,,,1,,4,4,9,1,2,1,,,6,1,3,,1,1,,,,8,,,,,,1,3,1,,,,,,,,,1,2,,1,,,,,1,,,2,1,1,7,1,5,1,7,,9,5,,1,,6,,17,1,2,,1,1,,1,,3,,1,,4,20,29,29,10,1,,,2,,2,1,2,2,2,1,8,,,1,,2,1,,3,1,,,1,6,,,,1,1,2,6,2,,2,,1,2,8,3,,
2016,33,2,8,3.613207547,7.921698113,216.6367925,24.56981132,19.3990566,13.8509434,0,102352.4528,0,1,2,,,,,,,,,2,5,1,2,1,,7,,,2,,,,,,,,1,,2,1,1,3,1,,,1,2,,,,4,,1,,,2,3,1,1,4,1,,1,,,1,13,,1,1,,,1,1,,,1,,,2,,5,3,,,,,,,,1,1,,1,1,,,,,,,,,1,,1,,,,,,1,3,,7,,4,,7,1,,,,8,2,9,7,1,,3,,,,1,,1,,,6,13,14,39,8,,,,6,,2,1,3,1,,3,1,2,,4,,3,,,3,4,,,,2,1,1,1,1,,2,,2,,1,,,,1,1,,
2016,34,3,8,4.750929368,5.935315985,176.9888476,24.53234201,18.8070632,14.29330855,0.619330855,101316.7658,0,2,4,,,,,2,,,,5,9,2,3,1,2,9,,,4,2,,1,,1,,1,,,,,,1,2,,,3,1,2,,,4,,1,,1,2,1,,1,5,,,,,,2,16,,2,,,,4,,,,1,,,,1,7,1,,,,,,1,,,,,,,,,,1,1,,,,,,,,,,,,1,5,2,10,1,4,,6,5,,,2,3,1,9,4,,1,,,,1,,2,2,,,11,22,19,53,9,,1,,1,,2,1,3,2,2,,1,1,2,2,1,4,,,5,,,5,,5,,1,,1,,4,4,2,1,,,,,,3,2,
