Year,WeekOfYear,weekOfMonth,MonthOfYear,cloud_cover,sunshine,global_radiation,max_temp,mean_temp,min_temp,precipitation,pressure,snow_depth,Aloo Chaat,Aloo Gobi,Aloo Methi,Baingan Hari Mirch,Bengal Fish Biryani,Bengal Fish Karahi,Bengal Fry Fish,Bengal King Prawn,Bengal Salad,Bhindi Bhajee,Bhuna,Bhuna - Chicken,Bhuna - Chicken Tikka,Bhuna - King Prawn,Bhuna - Lamb,Bhuna - Prawn,Bombay Aloo,Bottle Coke,Bottle Diet Coke,Brinjal Bhajee,Butter Chicken,Cauliflower Bhajee,Chana Masala,Chapati,Chicken Achar,Chicken Balti,Chicken Biryani,Chicken Chaat,Chicken Chilli Garlic,Chicken Hari Mirch,Chicken Haryali,Chicken Karahi,Chicken Mysore,Chicken Pakora,Chicken Rezala,Chicken Roshni,Chicken Shashlick,Chicken Shashlick Curry,Chicken Sylhet,Chicken Tikka,Chicken Tikka (Main),Chicken Tikka Balti,Chicken Tikka Biryani,Chicken Tikka Chilli Masala,Chicken Tikka Garlic,Chicken Tikka Jalfrezi,Chicken Tikka Jeera,Chicken Tikka Karahi,Chicken Tikka Masala,Chicken Tikka Pasanda,Chicken Tikka Sizzler,COBRA ( LARGE ),COBRA (330ML),COBRA (660ML),Coke 1.5 ltr,Curry,Curry - Chicken,Curry - Chicken Tikka,Curry - King Prawn,Curry - Lamb,Curry - Prawn,Curry Sauce,Dall Samba,Dhansak,Dhansak - Chicken,Dhansak - Chicken Tikka,Dhansak - King Prawn,Dhansak - Lamb,Dhansak - Prawn,Dhansak Sauce,Diet Coke 1.5 ltr,Dupiaza,Dupiaza - Chicken,Dupiaza - Chicken Tikka,Dupiaza - King Prawn,Dupiaza - Lamb,Dupiaza - Prawn,Egg Paratha,Egg Rice,French Fries,Garlic Naan,Garlic Rice,Green Salad,Hazary Lamb,Hazary Lamb Chilli Garlic,House Red wine 75cl,House white wine 75cl,Keema Naan,Keema Rice,King Prawn Balti,King Prawn Biryani,King Prawn Butterfly,King Prawn Hari Mirch,King Prawn Karahi,King Prawn Puree,King Prawn Shaslick,Korma,Korma - Chicken,Korma - Chicken Tikka,Korma - King Prawn,Korma - Lamb,Korma - Prawn,Korma Sauce,Kulcha Naan,Lal Mirch Chicken,Lal Mirch Lamb,Lamb Achar,Lamb Balti,Lamb Biryani,Lamb Chilli Garlic,Lamb Hari Mirch,Lamb Haryali,Lamb Karahi,Lamb Mysore,Lamb Rezala,Lamb Roshni,Lamb Shashlick,Lamb Shashlick Curry,Lamb Sylhet,Lamb Tikka,Lamb Tikka (Main),Lamb Tikka Balti,Lamb Tikka Biryani,Lamb Tikka Chilli Masala,Lamb Tikka Garlic,Lamb Tikka Jalfrezi,Lamb Tikka Jeera,Lamb Tikka Karahi,Lamb Tikka Masala,Lamb Tikka Pasanda,Lamb Tikka Sizzler,Lemon Rice,Lemonade 1.5 ltr,Lime Pickle,Madras,Madras - Chicken,Madras - Chicken Tikka,Madras - King Prawn,Madras - Lamb,Madras - Prawn,Madras Sauce,Mango Chutney,Masala Sauce,Meat Samosa,Methi,Methi - Chicken,Methi - Chicken Tikka,Methi - King Prawn,Methi - Lamb,Methi - Prawn,Mint Sauce,Mixed Starter,Mixed Vegetable Curry,Mushroom,Mushroom - Chicken,Mushroom - Chicken Tikka,Mushroom - King Prawn,Mushroom - Lamb,Mushroom - Prawn,Mushroom Bhajee,Mushroom Rice,Muttar Paneer,Onion Bhajee,Onion Chutney,Onion Naan,Onion Rice,Paneer Shaslick,Paneer Tikka Balti,Paneer Tikka Karahi,Paneer Tikka Masala,Paneer Tikka Sizzler,Paratha,Pathia,Pathia - Chicken,Pathia - Chicken Tikka,Pathia - King Prawn,Pathia - Lamb,Pathia - Prawn,Perrier Water (750ml),Persian Chicken Biryani,Persian Lamb Biryani,Peshwari Naan,Pilau Rice,Plain Naan,Plain Papadum,Plain Rice,Prawn Balti,Prawn Biryani,Prawn Karahi,Prawn Puree,Puree,Raitha,Red Sauce,Rogon,Rogon - Chicken,Rogon - Chicken Tikka,Rogon - King Prawn,Rogon - Lamb,Rogon - Prawn,Royal Paneer,Saag,Saag - Chicken,Saag - Chicken Tikka,Saag - King Prawn,Saag - Lamb,Saag - Prawn,Saag Aloo,Saag Bhajee,Saag Dall,Saag Paneer,Saag Rice,Sheek Kebab,Sheek Kebab (Main),Special Fried Rice,Spicy Papadum,Still Water (750ml),Stuffed Paratha,Tandoori Chicken (1/4),Tandoori Chicken (Main),Tandoori Chicken Masala,Tandoori Fish,Tandoori Fish (Main),Tandoori King Prawn Garlic,Tandoori King Prawn Masala,Tandoori Mixed Grill,Tandoori Roti,Tarka Dall,Vegetable Balti,Vegetable Biryani,Vegetable Karahi,Vegetable Mysore,Vegetable Rice,Vegetable Roll,Vindaloo,Vindaloo - Chicken,Vindaloo - Chicken Tikka,Vindaloo - King Prawn,Vindaloo - Lamb,Vindaloo - Prawn,Vindaloo Sauce,Grand Total
2018,11,2,3,6.945595855,1.845854922,73.69948187,5.327720207,4.924870466,2.904663212,2.493264249,100229.6373,0.336787565,4,4,,2,,,1,,,1,5,,,,,,10,,,,9,1,2,3,,3,4,4,2,,,,,4,1,,1,1,,6,6,3,3,2,1,2,,3,15,,1,,,,2,10,,,,,,1,,5,,,,,,,1,,,,,,,,6,,31,,1,1,1,,,6,2,,,1,,,,,17,,,,,,1,,,,,,1,,,,,1,,,1,,1,1,3,,,1,,,,1,2,1,2,1,,1,5,,,,,,,14,1,5,,,,,,,8,1,,1,,,,,,1,11,1,9,7,3,1,,1,5,3,,4,,,,,,,,,2,3,37,24,59,15,1,,,,,1,3,2,,,,,,,3,,,,,,5,1,,5,,4,1,3,1,,,,5,1,,,,,8,2,2,,2,,,1,1,,,,,,,1,911
2018,12,4,3,6.598404255,2.978723404,97.49202128,11.48138298,6.892021277,3.724202128,0.412765957,101106.0904,0,1,8,,1,,,,,1,3,4,,,,,,3,,,,5,1,3,17,,,6,2,1,3,,1,,3,,1,2,,,4,4,1,2,1,,1,,,12,,1,,,3,1,5,,,,,,2,,3,,,,,,,1,1,,,,,,,2,2,22,,1,1,2,6,,2,3,1,2,,,1,,,10,,,,,,2,1,,,1,1,3,1,1,,1,,1,1,,1,1,,,,,,,1,,,1,1,,1,,1,8,,,,,,,16,,9,,,,,,,4,5,3,,,,,,,,4,2,12,8,2,2,,,3,2,,2,1,,,,,,,,1,5,34,26,46,11,,,2,1,1,2,3,4,,,,,,1,3,,,,,,9,4,1,4,1,5,,1,3,,,5,1,1,2,,,,4,3,4,2,4,,1,2,2,2,,,,,,,737
2018,13,5,3,7.219570406,1.810501193,90.32935561,10.31121718,6.745346062,3.616706444,7.126491647,100295.3461,0,,4,,,,,,,,2,7,,,,,,7,,,1,6,1,,9,1,3,6,4,2,,,4,,1,,1,2,1,1,5,7,1,5,3,1,3,,,9,,2,,,2,2,9,,,,,,1,,4,,,,,,,2,2,,,,,,,3,2,19,1,,,,,,10,,,,1,1,,2,1,16,,,,,,,1,,,,,4,,,,1,,,,,1,,,,,,1,,,,,1,1,,1,,1,12,,,,,,,10,2,10,2,,,,,,9,3,2,,,,,,,3,4,3,15,4,1,5,,,1,,1,4,,,,,,,,1,2,6,42,37,40,20,,,1,1,,3,2,5,,,,,,,4,,,,,,10,1,,2,,3,,1,2,,1,,2,1,1,,,1,6,5,5,,2,1,1,3,1,6,,,,,,,925
2018,14,1,4,5.536299766,3.362997658,116.6323185,13.47002342,10.49508197,6.487119438,2.385948478,100569.6019,0,1,2,,,,,,2,,1,6,,,,,,13,3,,,4,,1,9,,1,2,7,4,1,1,,1,4,1,,1,3,,6,1,2,2,3,4,3,,,23,1,2,,,,1,11,,,,,,,,7,,,,,,,,2,,,,,,1,3,5,24,2,1,,,,,10,1,,,1,,2,,1,11,,,,,,2,,,1,,6,3,2,,1,,,,,,,,2,,1,1,,,3,,1,2,,,,,3,15,,,,,,3,10,3,6,2,,,,,,11,1,2,,,,,,,1,10,1,16,7,2,3,1,,,1,,4,2,,,,,,,,,6,42,27,56,15,,,,2,3,,9,1,,,,,,5,1,,,,,,9,1,,2,1,,,5,1,,,1,,,,,1,,2,1,1,,,,,3,,1,,,,,,,870
2018,15,2,4,6.725925926,2.69037037,108.7283951,16.06444444,11.19703704,7.364938272,1.120493827,100949.7531,0,,4,,,,,,,1,,7,,,,,,10,1,,2,14,,2,8,,2,5,,,,1,1,,3,2,,2,1,,3,2,2,1,,2,,,,10,1,1,,,,,4,,,,,,,,2,,,,,,1,1,2,,,,,,,2,1,26,3,2,1,,,,5,2,,,3,2,,2,3,11,,,,,,,2,,1,1,,5,1,,,,,,,,,1,3,1,,1,2,,,,,2,2,,,,2,9,,,,,,2,18,3,4,,,,,,,12,4,2,,,,,,,3,10,1,12,12,,2,2,1,2,,,2,1,,,,,,,,,11,33,20,77,19,,,,,2,,9,1,,,,,,2,2,,,,,,9,,,5,,1,,5,1,,,,1,3,2,,,,3,5,5,,3,1,,3,2,3,,,,,,,780
2018,16,3,4,2.824295011,8.638611714,214.9002169,22.80477223,17.23036876,10.95813449,3.068980477,101901.0629,0,,1,,,,,,1,,1,9,,,,,,11,1,,,5,1,9,13,,2,4,1,2,,,2,,1,3,,2,1,,3,6,2,2,1,2,1,,1,18,,1,,1,,,8,,,,,,,,3,,,,,,,2,3,,,,,,,2,3,17,2,,1,2,2,,10,2,,,,,,1,1,17,,,,,,,,2,,,,2,2,,2,1,,,,,,1,2,,3,3,3,,,,,1,1,,1,,1,10,,,,,,1,13,,2,1,,,,,,11,2,2,,,,,,,3,9,3,12,13,3,1,,,,3,2,1,,,,,,,,2,1,9,25,29,72,33,,3,1,3,1,,4,,,,,,,1,7,,,,,,12,1,1,1,5,7,1,8,7,,,2,2,2,,,,,4,1,2,1,4,,1,9,1,3,,,,,,,882
2018,17,4,4,6.929577465,1.595774648,100.1690141,13.73943662,10.54366197,8.273239437,1.087323944,101247.3239,0,16,,,1,,,,,2,,3,1,1,1,1,1,1,2,,1,5,,1,4,,2,2,1,4,,,,,1,,,,1,,3,3,,,2,2,,,,5,,,,2,3,,1,,,,,,,,3,,,,,,,3,,1,1,1,1,1,2,4,,14,3,,,3,2,2,4,3,,2,,1,,,,,,,,1,,,2,,,,,2,2,,,,,,,,,,2,,,,3,,,,,,,,4,2,,3,,,,,,,9,,37,,,,,,,9,,1,,,,,,,,4,2,24,1,4,3,,1,,3,,1,2,,,,,,2,,,10,15,6,30,7,1,,,,,,4,,,,,,,6,1,,,,,,3,1,1,3,2,2,1,2,3,2,2,2,1,,,,,,4,,1,,2,,,2,9,,,,,,,,797
2018,18,1,4,0.26910299,13.29933555,295.2990033,25.93820598,15.3269103,7.889036545,0,102429.6013,0,4,1,1,1,2,1,2,1,1,1,,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,3,3,4,1,4,1,3,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,3,,1,1,,,2,6,1,2,1,1,1,,1,1,1,1,1,1,1,,1,1,3,1,1,1,1,1,1,1,1,1,4,1,1,1,1,1,2,3,2,1,3,1,,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,4,1,1,1,1,1,1,3,1,1,1,3,1,1,1,1,1,1,1,1,1,1,,4,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,3,1,,1,1,1,1,1,1,1,1,4,2,1,1,1,1,4,1,3,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,,1,1,1,1,1,3,,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,3,1,1,3,1,3,1,1,1,1,1,1,1,1,1,3,,1,1,1,1,1,1,957
2018,19,2,5,4.760435572,5.654083485,190.2595281,18.94882033,13.81814882,9.02831216,2.701633394,101407.7132,0,12,5,,2,,,2,,1,3,,4,3,1,3,,11,2,,1,7,,1,9,1,2,11,1,5,,2,,,4,,,4,5,,7,1,1,4,7,1,1,,2,21,4,,,3,1,,,8,3,2,1,,1,,,,,1,2,,1,1,,2,,1,,,,,6,21,,1,1,1,,,9,2,,1,,2,,3,2,,15,2,,2,,1,1,1,,,2,6,1,,4,1,,,,,,,3,,,,1,,,,,3,2,,1,1,4,,2,2,4,,,1,18,1,10,,1,,,,,9,3,2,,,,,,,1,9,1,30,13,1,1,1,2,,3,,1,,1,1,1,,,,,,11,40,39,63,15,,,,4,,3,12,,1,,,,,1,,,,,2,,9,1,,,2,6,1,3,9,,1,2,2,2,,1,1,1,6,2,3,,3,,,2,8,,3,,1,2,,,865
2018,20,3,5,1.882783883,11.50622711,172.2234432,20.54908425,13.96373626,8.085347985,0,102417.7289,0,,5,,2,,,,,1,2,,1,,,3,,5,,3,,3,,2,7,,,3,2,,1,,3,1,,2,1,2,,,5,4,1,1,1,1,1,,,6,,,,,3,,,6,1,,1,,,,,2,1,,1,,,,,2,,,2,,,,,10,1,,,,1,,,,,,,,1,2,1,,7,,,,,1,1,,2,,1,5,,,,1,,,,,,,,,,,,,1,,,,,,,,,,4,1,,4,,,10,,7,,1,,,,,7,5,1,,,,,,,,1,,20,2,,2,,,1,1,,2,,1,,,,,,,,10,26,25,28,8,,,,,1,,1,,1,,,,,1,,,,,2,,3,1,,,2,2,,6,,2,1,1,,1,,,1,,2,3,2,,4,1,1,3,1,,1,1,,1,,,904
