Year,WeekOfYear,weekOfMonth,MonthOfYear,cloud_cover,sunshine,global_radiation,max_temp,mean_temp,min_temp,precipitation,pressure,snow_depth,Aloo Chaat,Aloo Gobi,Aloo Methi,Baingan Hari Mirch,Bengal Fish Biryani,Bengal Fish Karahi,Bengal Fry Fish,Bengal King Prawn,Bengal Salad,Bhindi Bhajee,Bhuna,Bhuna - Chicken,Bhuna - Chicken Tikka,Bhuna - King Prawn,Bhuna - Lamb,Bhuna - Prawn,Bombay Aloo,Bottle Coke,Bottle Diet Coke,Brinjal Bhajee,Butter Chicken,Cauliflower Bhajee,Chana Masala,Chapati,Chicken Achar,Chicken Balti,Chicken Biryani,Chicken Chaat,Chicken Chilli Garlic,Chicken Hari Mirch,Chicken Haryali,Chicken Karahi,Chicken Mysore,Chicken Pakora,Chicken Rezala,Chicken Roshni,Chicken Shashlick,Chicken Shashlick Curry,Chicken Sylhet,Chicken Tikka,Chicken Tikka (Main),Chicken Tikka Balti,Chicken Tikka Biryani,Chicken Tikka Chilli Masala,Chicken Tikka Garlic,Chicken Tikka Jalfrezi,Chicken Tikka Jeera,Chicken Tikka Karahi,Chicken Tikka Masala,Chicken Tikka Pasanda,Chicken Tikka Sizzler,COBRA ( LARGE ),COBRA (330ML),COBRA (660ML),Coke 1.5 ltr,Curry,Curry - Chicken,Curry - Chicken Tikka,Curry - King Prawn,Curry - Lamb,Curry - Prawn,Curry Sauce,Dall Samba,Dhansak,Dhansak - Chicken,Dhansak - Chicken Tikka,Dhansak - King Prawn,Dhansak - Lamb,Dhansak - Prawn,Dhansak Sauce,Diet Coke 1.5 ltr,Dupiaza,Dupiaza - Chicken,Dupiaza - Chicken Tikka,Dupiaza - King Prawn,Dupiaza - Lamb,Dupiaza - Prawn,Egg Paratha,Egg Rice,French Fries,Garlic Naan,Garlic Rice,Green Salad,Hazary Lamb,Hazary Lamb Chilli Garlic,House Red wine 75cl,House white wine 75cl,Keema Naan,Keema Rice,King Prawn Balti,King Prawn Biryani,King Prawn Butterfly,King Prawn Hari Mirch,King Prawn Karahi,King Prawn Puree,King Prawn Shaslick,Korma,Korma - Chicken,Korma - Chicken Tikka,Korma - King Prawn,Korma - Lamb,Korma - Prawn,Korma Sauce,Kulcha Naan,Lal Mirch Chicken,Lal Mirch Lamb,Lamb Achar,Lamb Balti,Lamb Biryani,Lamb Chilli Garlic,Lamb Hari Mirch,Lamb Haryali,Lamb Karahi,Lamb Mysore,Lamb Rezala,Lamb Roshni,Lamb Shashlick,Lamb Shashlick Curry,Lamb Sylhet,Lamb Tikka,Lamb Tikka (Main),Lamb Tikka Balti,Lamb Tikka Biryani,Lamb Tikka Chilli Masala,Lamb Tikka Garlic,Lamb Tikka Jalfrezi,Lamb Tikka Jeera,Lamb Tikka Karahi,Lamb Tikka Masala,Lamb Tikka Pasanda,Lamb Tikka Sizzler,Lemon Rice,Lemonade 1.5 ltr,Lime Pickle,Madras,Madras - Chicken,Madras - Chicken Tikka,Madras - King Prawn,Madras - Lamb,Madras - Prawn,Madras Sauce,Mango Chutney,Masala Sauce,Meat Samosa,Methi,Methi - Chicken,Methi - Chicken Tikka,Methi - King Prawn,Methi - Lamb,Methi - Prawn,Mint Sauce,Mixed Starter,Mixed Vegetable Curry,Mushroom,Mushroom - Chicken,Mushroom - Chicken Tikka,Mushroom - King Prawn,Mushroom - Lamb,Mushroom - Prawn,Mushroom Bhajee,Mushroom Rice,Muttar Paneer,Onion Bhajee,Onion Chutney,Onion Naan,Onion Rice,Paneer Shaslick,Paneer Tikka Balti,Paneer Tikka Karahi,Paneer Tikka Masala,Paneer Tikka Sizzler,Paratha,Pathia,Pathia - Chicken,Pathia - Chicken Tikka,Pathia - King Prawn,Pathia - Lamb,Pathia - Prawn,Perrier Water (750ml),Persian Chicken Biryani,Persian Lamb Biryani,Peshwari Naan,Pilau Rice,Plain Naan,Plain Papadum,Plain Rice,Prawn Balti,Prawn Biryani,Prawn Karahi,Prawn Puree,Puree,Raitha,Red Sauce,Rogon,Rogon - Chicken,Rogon - Chicken Tikka,Rogon - King Prawn,Rogon - Lamb,Rogon - Prawn,Royal Paneer,Saag,Saag - Chicken,Saag - Chicken Tikka,Saag - King Prawn,Saag - Lamb,Saag - Prawn,Saag Aloo,Saag Bhajee,Saag Dall,Saag Paneer,Saag Rice,Sheek Kebab,Sheek Kebab (Main),Special Fried Rice,Spicy Papadum,Still Water (750ml),Stuffed Paratha,Tandoori Chicken (1/4),Tandoori Chicken (Main),Tandoori Chicken Masala,Tandoori Fish,Tandoori Fish (Main),Tandoori King Prawn Garlic,Tandoori King Prawn Masala,Tandoori Mixed Grill,Tandoori Roti,Tarka Dall,Vegetable Balti,Vegetable Biryani,Vegetable Karahi,Vegetable Mysore,Vegetable Rice,Vegetable Roll,Vindaloo,Vindaloo - Chicken,Vindaloo - Chicken Tikka,Vindaloo - King Prawn,Vindaloo - Lamb,Vindaloo - Prawn,Vindaloo Sauce,Grand Total
2018,21,4,5,5.670353982,6.061283186,192.2455752,24.67455752,18.0909292,12.73893805,5.261946903,101827.6991,0,,5,1,1,1,,1,1,,3,,1,3,,2,1,9,2,,1,8,1,3,12,,2,3,1,1,1,,1,,2,,1,1,2,,7,6,,5,2,2,4,,1,16,1,2,,,1,,,7,,,2,,,,,2,1,1,1,,1,,,2,,,2,,3,2,3,20,,3,1,1,,,8,4,,,,,,2,1,,8,1,,2,,1,1,1,,,,5,1,1,,1,,,,,,,,1,1,1,2,,1,,,1,1,,1,2,,,8,1,1,2,,2,15,,18,,1,,,,,11,3,2,,,,,,,2,14,,17,8,1,2,,,1,1,,4,,,,,,,,,,7,41,30,40,6,1,,,,3,,4,,,,,1,,4,,2,,1,1,,11,3,,2,1,4,1,3,1,,,,3,1,1,,1,,7,3,2,,2,,,6,2,,1,,,,,,679
2018,22,1,5,5.367063492,3.887301587,170.7222222,22.91825397,18.80198413,14.48194444,1.177777778,101678.7103,0,7,3,,1,,,,1,1,,,4,,,1,,17,1,,4,11,2,,19,1,6,9,1,1,,,5,,2,1,,5,1,,5,3,2,,1,1,3,,,11,2,,,,,,,6,2,1,2,2,1,,,3,1,,3,2,2,,,5,,,,,,,4,23,2,3,,,,1,10,,,,2,2,1,3,2,,10,,,1,,2,5,,,,1,3,1,,1,2,2,2,1,,,,1,,,,,1,1,1,1,,1,1,2,3,2,,5,,,4,,,15,2,11,,,,,,,9,6,2,,1,,,,,,13,5,18,5,3,1,,2,1,1,,6,,1,2,,1,,,,,4,45,25,69,18,,,1,1,,2,5,,1,,,1,1,3,,3,1,1,1,,11,1,2,3,2,7,2,2,2,,2,,6,1,1,1,,,4,,1,1,1,,3,7,2,,1,,,1,,2,897
2018,23,1,6,5.903591682,5.317202268,200.0113422,22.95198488,17.49659735,13.0610586,0,101605.879,0,1,5,,2,,1,,4,,3,,3,1,,1,,14,3,2,2,10,4,1,7,,4,4,2,1,,,,1,2,,1,5,1,1,3,8,,4,1,3,3,,,22,2,1,,,,,,3,,,5,,2,,,1,1,,,,,,,5,1,,,,,2,4,22,2,2,,1,,,13,2,,,1,,,1,1,,18,,,,,4,,1,1,1,1,6,,1,1,2,,1,1,2,1,,1,,,1,2,,,1,,1,1,,2,1,2,,5,,1,3,,1,16,4,9,,,,,1,,11,6,1,,,1,,,,3,11,1,27,9,,,,,1,1,,3,,1,1,1,,,,1,1,11,47,46,100,25,,,,2,3,5,7,,,,,1,,4,,1,1,,,,9,4,2,1,1,4,,2,5,,3,2,3,1,2,,,1,7,3,2,1,6,5,1,2,6,,2,2,,,,,733
2018,24,2,6,5.316725979,5.414946619,187.1494662,22.10604982,17.33790036,12.72188612,0.080427046,101533.274,0,1,2,,2,,,,,,4,,5,3,,4,,15,1,1,1,8,1,1,32,1,4,4,1,1,3,,2,,3,,,3,2,,2,8,2,3,1,2,1,,,30,2,,,,,,,12,1,,2,,,1,,3,3,,1,,,,,2,1,,1,,1,2,2,20,1,2,,2,,,9,4,,1,,,2,,2,,20,,2,1,1,,,1,,,,6,1,,,,,,1,,,,3,3,1,4,,,2,1,,2,2,,2,1,,,8,4,1,2,,,16,,10,,,,,,,8,2,2,,,1,,,,3,13,1,25,3,3,2,,1,,3,,5,,,2,,,,,,,14,53,46,87,28,,,,1,1,3,2,,2,,,1,,4,,1,1,,1,,7,2,3,4,1,3,,4,3,,3,2,2,,5,,,,6,8,3,1,2,,,2,1,,2,,1,1,,,623
2018,25,3,6,3.13022113,10.88181818,140.8034398,25.32972973,17.93882064,11.76584767,0,102632.9975,0,3,6,,1,1,1,,,,2,,2,,1,,,8,1,1,1,6,1,4,17,,1,4,2,,,1,1,1,1,1,3,2,1,,3,5,1,2,2,,3,,2,6,1,3,,,2,,,6,,,2,,1,1,,1,,,,,3,,,2,,,,,,2,2,17,,1,,,,,6,1,1,1,,,,,1,,12,,,,,1,,1,,,2,2,,,,,,,,3,,,1,1,,,1,,,,,5,,,2,,6,,6,2,1,1,,1,20,,5,,1,,,,,11,7,2,,1,,,1,,2,5,1,6,12,,1,,1,3,,,3,,,,,,,,1,,5,40,20,60,15,2,,,2,,2,8,,1,,,,,2,,,,,,1,7,1,3,3,1,4,1,5,7,,1,4,3,1,,,1,,2,3,3,,1,,1,3,1,,2,,,,,,910
2018,26,4,6,1.557416268,11.784689,163.2464115,29.61148325,21.76339713,13.88157895,0,101969.1388,0,,,,3,2,,,1,1,1,,2,1,,,1,10,3,,1,7,3,,9,,3,2,2,2,,4,1,1,2,1,,2,,,1,3,,1,1,,5,,,11,1,1,,1,1,,,4,,,2,,1,,,3,1,,,,3,,,2,,,1,,1,1,3,21,1,1,2,1,,,7,2,,1,1,,1,2,2,,7,1,,1,1,5,1,,,,4,,2,,2,1,,,1,1,2,,1,1,,2,,,2,,,1,,,1,,2,,7,2,2,2,,3,13,1,3,,,,,,,13,2,5,,2,,,,,1,8,2,11,6,,1,,1,,,1,3,,1,,,1,,,,,4,33,27,57,19,,,1,1,,2,3,,1,,,,,3,,3,,1,,,7,1,1,3,1,3,1,1,11,,1,1,2,,1,,,,3,3,1,2,3,1,1,2,,,,,1,,,3,835
2018,27,1,7,1.19047619,12.65952381,69.7965368,30.02142857,23.59761905,17.02748918,0,101979.329,0,1,6,,,,,,,2,1,,3,1,,2,,15,,1,1,7,1,3,18,,2,3,2,1,1,,,1,3,,1,7,1,,6,7,1,3,1,,,,1,15,,,,,,,,7,,,3,,1,1,,2,2,,,,4,,,1,1,,,,1,2,3,25,1,2,,1,,,6,2,,,1,,,4,1,,11,2,,,,,,1,,,2,5,,,,,,,,,,1,1,1,,1,1,,,,,,2,,1,,1,,9,1,,3,,1,10,,5,,,,,,,9,4,6,,,1,,,,6,7,3,24,5,1,1,2,2,2,,,4,,,,,,,,,,9,43,26,36,18,,,,,,4,4,,1,,,2,,6,,,1,,3,,5,1,,6,1,5,,1,2,2,1,2,4,,2,1,,,3,4,8,1,1,,,3,3,,1,,1,1,,1,789
2018,28,2,7,3.401425178,9.033966746,225.6057007,28.05249406,21.08123515,15.04726841,0,102093.6342,0,1,4,,2,,,,,,3,,1,1,,1,1,12,2,2,,5,1,3,11,,,3,2,1,1,,,1,2,1,,5,1,,6,10,5,4,5,2,2,,1,15,1,1,,,,,,4,,,5,,,1,,,,,1,1,2,,,2,,,,,,7,4,19,,,,,,,14,1,,,,1,,,2,,11,1,,,,2,,,1,,,4,2,,1,,,,,1,1,,1,,,1,1,,2,,,1,1,,1,1,,,5,,1,2,2,1,13,,8,,,,,1,,7,7,3,,1,,,,,,9,,14,9,,1,,,,1,,8,,,,,,,,,,6,31,24,73,28,1,,,,,5,3,,1,,,,,2,,,,1,,,5,1,,1,1,4,,3,3,,2,1,2,2,3,,,1,2,8,9,,4,,1,1,2,,3,,,1,,,829
2018,29,3,7,5.668478261,5.208152174,195.5679348,28.3638587,21.82119565,16.31304348,0,101583.7228,0,4,3,,1,1,,,1,,1,,2,,,,,9,2,2,1,5,1,2,12,,,3,2,4,,,,,5,,,2,,,2,1,2,3,1,2,2,,2,14,1,2,,,1,,,6,,,2,,,3,,2,,,1,,1,,,5,,,,,1,,1,19,,,,,,3,5,3,,1,,1,,1,1,,7,2,,1,,4,,3,,,,1,,1,,1,,,,,,,1,,,,,1,,,,2,1,,2,,2,,9,,2,,,1,11,3,8,,,,1,,,5,1,3,,,,,,,3,6,1,9,6,2,,1,,3,1,2,3,,,1,,,,,1,1,5,32,17,54,21,,,,,2,,1,,,,,1,,,,,,,,,1,,,3,2,,1,3,6,2,1,1,,1,,,3,,5,8,4,1,2,,,2,2,,2,,,,,4,699
2018,30,4,7,4.358974359,7.276752137,216.2188034,25.95589744,22.55760684,17.50564103,2.095384615,100979.3675,0,2,5,,,,,,3,,2,,,5,,1,,20,2,2,,10,1,4,23,,7,3,5,2,2,,2,1,,1,,2,1,1,4,9,1,7,1,1,2,,,9,3,1,,,,,,7,,,2,,1,,,2,2,,,,1,,,7,,,1,1,,2,5,21,3,2,,,,,15,4,,1,,1,,2,3,,20,,1,2,1,4,1,2,,,,2,1,1,,1,,,,,1,,6,,3,1,,1,,,1,,,,2,,5,,13,2,1,2,,3,20,2,5,,,,,,,21,2,3,,,,,,,2,14,1,22,13,4,2,2,1,1,1,1,3,,1,1,,,,,,,10,52,34,94,24,,,,4,,1,8,,,,,1,,4,,,,1,1,,6,2,1,7,1,3,,6,8,1,1,1,4,,1,,,1,8,8,3,,4,,,3,2,,1,,2,,,2,763
2018,31,1,7,1.548051948,11.30649351,272.0103896,29.52,22.70233766,16.6612987,0.532987013,102035.4805,0,2,3,,1,,,,,,1,,3,1,1,1,,14,3,1,1,5,,3,5,,1,8,3,1,,,,,1,,,1,3,,5,7,1,3,1,1,3,,,12,,1,,1,,,,2,1,,1,,2,,,5,1,,,,2,,,,,,,1,2,1,3,13,,1,,,,,6,,,,2,1,1,,1,,9,,,,,1,,,,,,,,,,1,,,,,,,,,,,,2,,,1,,,,,2,1,,5,2,1,1,,1,14,3,10,,,,,,,12,4,,,,,,,,3,8,,10,10,,2,,,,1,,2,,,,2,,,,,1,5,36,29,62,22,1,,,2,,1,5,,,,,3,,2,,,,,,,4,,,7,1,2,1,3,6,,,2,,2,1,,,2,1,8,3,1,4,,1,1,1,,3,,,1,,1,861
2018,32,2,8,4.796334012,5.442158859,176.9429735,23.48615071,18.63380855,13.34338086,1.594704684,101510.611,0,1,4,,,,,,1,3,,,2,4,,1,,10,1,1,,11,1,1,11,,1,9,2,,,,2,,5,1,2,3,,,5,4,4,5,2,,6,,,14,2,,,,3,,,8,2,,5,,4,,,3,1,,2,,1,,,,,,,,,2,1,20,,,1,,,,8,3,,,,,,1,1,,18,2,,,1,1,3,,2,,,2,,,1,2,,1,,,,,2,,1,1,,1,,,,,1,,1,1,2,,5,,2,1,,3,20,1,4,,,1,,,,23,3,2,,1,,,,,1,12,1,18,8,1,,1,1,,,,2,,,,,1,,,,,14,43,39,55,19,1,,2,5,,3,6,,1,,,2,,3,,,,,,,8,3,1,2,3,6,,5,6,,1,,,1,,,3,,8,5,5,,4,2,,3,4,,2,,1,,,,933
2018,33,3,8,5.286637931,4.17112069,152.237069,25.05625,19.53297414,14.52801724,0.796982759,101827.6293,0,,5,,2,,,,1,,2,,2,2,1,2,1,13,7,2,,8,4,2,6,,2,8,4,2,1,,1,,1,2,1,1,1,2,5,6,4,3,3,1,3,,,12,3,,,,,,,8,,,,1,2,,,1,,,,,,,,1,,,1,,3,3,,18,2,,,1,,,9,1,,,,1,,1,,,13,,,1,,1,,,2,,2,5,,,,1,,,,,,,1,1,1,1,,,1,,,,2,,2,1,2,,10,1,,4,1,2,13,2,3,,1,,,,,10,1,2,,,,,,,2,6,2,9,8,2,1,2,,2,3,1,2,,1,,,,,1,,,19,48,37,61,18,,,,3,3,1,4,,3,,,1,,,,3,,,,,5,2,1,5,,4,1,5,8,,4,1,6,,,,,1,3,5,3,1,,,3,2,,,4,,,1,,1,782
2018,34,4,8,4.695810565,5.081056466,160.0874317,21.24462659,17.46411658,12.81839709,2.828415301,101489.7086,0,1,3,,3,1,,,1,1,6,,4,1,1,4,,18,4,1,1,10,,2,7,1,2,4,2,,,1,4,,4,1,1,3,1,1,1,4,,2,3,1,1,,,24,,3,,,,,,5,2,,2,1,4,,,4,3,3,2,,1,,,4,,,,,,1,2,30,2,,1,,,,10,1,,1,,,,,2,,15,1,,1,,2,1,,,,1,4,1,3,,1,1,,,,,,,1,,,,2,,,1,5,,,3,1,3,,6,1,1,1,,,16,2,8,,,,,,,18,2,4,,,3,,,,2,12,1,14,8,1,2,2,2,2,2,,2,,3,,,,,,,,18,50,46,75,19,,,,5,2,3,3,,,,,3,,7,,1,,1,1,,7,2,,,4,3,,1,4,1,,,3,,2,,3,1,3,4,5,,5,,,3,2,,1,,,,,,933
2018,35,4,8,4.39453125,5.888476563,160.8964844,22.58066406,17.13769531,12.48476563,0.7421875,101940.9766,0,3,2,,,1,,,,,3,,3,4,1,1,1,8,2,2,,5,,4,13,,3,3,2,,,1,1,,2,1,,5,,,6,10,1,3,1,,3,,,15,2,1,,,3,,,11,,,3,1,3,,,3,1,,1,,,,,4,,,,,,2,6,21,,,,,,,12,1,,,,2,1,1,2,,22,1,,1,,2,,,,,1,3,1,,,2,,,1,,,,4,,,2,1,,3,,1,1,,,3,2,3,,10,1,,3,,1,22,1,10,,,,,,,17,,1,,1,,,,,1,10,1,20,7,,6,,,,,,4,,,,,,,1,,1,17,39,32,79,22,,,,4,1,4,4,,1,,,,,3,,,,,1,,10,3,,3,,4,,4,6,,,1,1,,,1,,1,4,5,3,1,4,,2,2,2,,4,,,1,,2,943
2018,36,1,9,5.089445438,5.458318426,143.3220036,22.43864043,16.16135957,10.64847943,0.021824687,101803.059,0,4,1,1,1,1,,,1,,1,,2,6,,2,,14,,3,,13,2,3,22,,3,6,1,3,1,,1,,5,,,3,2,,3,9,2,2,1,1,2,,3,14,5,3,,1,4,,,8,,,1,,,,,3,1,,1,,1,,,2,,,,,,1,3,26,3,1,1,,,1,10,4,1,,1,,,1,,,14,1,,1,,1,2,3,,1,1,1,3,1,,,1,,,,,1,1,,,,1,,,,1,,1,,1,,3,,10,3,,3,,3,22,,11,,,,,,,14,3,1,,,,,,,3,9,,25,10,,1,1,,,,,4,,2,,,,,,,,15,56,33,98,17,,1,,3,,1,6,,,,,,,4,,2,,,3,,10,1,,4,,7,,7,4,,1,,1,,1,1,1,2,3,11,5,1,2,1,,2,2,,2,1,2,,,,799
2018,37,2,9,4.844339623,5.096069182,131.158805,22.61871069,16.38506289,11.32877358,0.301886792,102129.4654,0,4,6,,2,2,,,,,2,,6,1,,4,1,13,4,2,,11,2,3,12,1,8,5,4,,,1,2,,8,,,3,2,,6,8,,6,2,,3,2,,23,3,,,,3,,,6,,,6,,2,,,2,1,,2,,,,,4,1,,1,,,2,6,25,4,,1,,,,12,3,1,1,,1,,2,2,,16,1,,1,,4,3,2,,,1,5,,,1,1,1,,,1,,,2,,1,1,,,,,,1,2,,1,,5,,13,4,1,1,,3,19,3,10,,,,,1,,14,3,4,,,,,,,8,21,3,19,12,,2,2,,,,,5,,2,,,1,,,,,17,69,40,104,22,,,,6,,6,4,,,,,2,,3,,3,1,,3,1,12,2,1,4,1,3,,5,5,1,,1,3,,4,,1,1,7,9,6,1,2,2,,4,1,,1,1,,,,1,898
2018,38,3,9,6.180579216,3.758603066,101.5332198,17.23577513,15.15894378,12.43713799,6.585008518,101360.7155,0,4,6,1,1,2,,,1,,2,,4,1,,,1,15,1,,1,7,2,3,16,,3,6,1,,3,,4,,2,1,,2,1,1,8,6,5,1,3,2,4,1,1,15,1,,,1,1,,,9,,,3,,1,1,,4,3,,,,,,,8,,,1,,,1,2,34,1,,3,1,,,10,1,,1,1,1,,1,2,,15,1,,2,,,1,1,2,,1,3,3,,,2,,,,,1,,3,1,,3,,,2,,1,1,,,1,1,2,,9,1,,4,,,16,1,11,,,,,,,10,1,,,,,,,,4,10,1,19,8,,2,2,,1,2,,1,,,,,,,,,,15,50,32,85,23,1,,,4,2,2,5,,1,,,,,3,,2,1,2,2,,13,2,1,6,1,5,,7,9,,3,2,6,3,3,,1,2,3,6,7,,2,2,,7,3,,1,1,1,3,,1,842
2018,39,4,9,1.52962298,8.754039497,149.6876122,17.76912029,12.88617594,7.409335727,0,102902.4417,0,3,2,1,3,1,,,,1,3,,7,1,,3,,17,3,1,,7,,4,11,,2,3,2,1,,2,,2,,1,,2,2,,5,3,1,3,,,6,1,,21,,1,,,4,,,4,,,2,3,2,,,2,5,,4,1,,,,7,,,1,,,2,2,25,1,1,,,,,13,,,,,,,1,2,,22,,,,1,3,2,,,,1,1,1,,,1,,,1,,,,1,3,2,1,,,3,,,,,,1,1,3,,8,1,1,8,,2,16,4,10,,1,,,,,12,1,3,,1,,,,,1,13,4,20,7,5,,,,,,,2,,,1,,,,,1,,11,61,38,80,20,,,,3,2,2,7,,2,1,1,3,,3,,2,1,,1,,10,1,2,3,4,2,,7,5,,1,,2,1,1,2,1,,4,7,2,,3,1,1,7,2,,,1,1,,,1,1002
2018,40,1,10,5.256565657,3.466666667,83.72121212,15.99373737,13.21656566,9.918383838,2.626262626,101916.8283,0,,7,1,3,1,,,,,1,,5,4,,4,1,14,2,,1,9,1,4,12,,2,6,,2,,,2,1,2,1,,1,,,3,7,,3,1,1,6,,,18,3,2,,,3,,,4,1,,2,,,1,,3,,,1,1,,,,10,,,,2,,1,3,24,1,,,,,1,7,1,,1,1,1,,2,1,,20,1,,2,,1,1,,,,,3,2,,,,,,,2,,,,,,2,,,2,,,2,1,,1,,,,5,2,,1,2,1,10,3,4,,,,,1,,18,4,4,,,,,,,1,14,,22,7,,1,3,2,,1,,2,,1,,,,,,,,19,48,38,74,21,,,,6,,2,3,,1,1,,1,,3,,1,1,,,,8,1,,4,3,5,,4,2,,2,,2,2,1,2,2,2,7,7,4,,2,,1,5,,,2,1,,,,,925
2018,41,2,10,5.205533597,3.720948617,80.04940711,19.33695652,17.18221344,13.45770751,6.588142292,100991.4625,0,1,6,1,3,,,,1,1,1,,7,,,,,12,1,1,,13,1,3,17,1,4,2,1,1,,,2,,2,,1,1,,1,4,6,2,6,2,,3,1,,16,1,,,,1,,,10,1,,5,1,,2,,1,1,,1,1,,,,3,,1,,,,4,4,25,3,2,2,,2,,9,,,,1,,,2,2,,11,,1,,2,1,,1,,,1,4,1,1,,2,1,1,,1,,,4,,,2,,,1,,2,,1,,1,1,1,,12,1,,3,,1,10,1,6,,,,,,,6,4,1,,,,,,,3,13,2,17,4,2,1,1,1,,1,2,1,,,,,,,1,2,,7,53,22,39,16,,,,6,1,2,5,,2,,,4,,5,,1,1,1,2,1,11,2,2,2,1,4,1,4,3,,6,3,1,1,5,,1,,3,9,1,,2,1,,3,1,,1,,,3,,,945
2018,42,3,10,3.652246256,6.387520799,94.71547421,17.7655574,12.68552413,7.563061564,0.183028286,102564.0266,0,5,9,1,2,1,,,1,2,1,,3,2,,2,,11,1,,1,10,1,4,14,1,4,5,3,3,1,,5,,1,,1,1,1,,4,11,1,3,7,,3,,,15,2,,,2,,,,6,2,,2,1,3,1,,1,,1,,,1,,,3,,,,,2,1,2,26,4,,3,2,2,,9,3,,,1,1,,2,,,19,1,1,2,,2,,,,,1,2,,,,3,1,1,1,,1,1,4,2,1,1,1,,4,,,3,1,,,,5,,11,2,1,,,5,27,1,9,,,,,,,20,3,3,,,,,,,4,12,,20,13,2,3,1,,1,1,,5,,,,,,,,2,,13,54,29,121,18,,,,2,,4,9,,1,,,1,,2,,1,1,,2,,4,4,,6,3,3,2,2,8,,,1,2,1,,,1,1,4,12,5,,5,1,1,2,,,1,,,1,1,,750
2018,43,4,10,3.645914397,4.122762646,71.38715953,10.54396887,8.51848249,5.776848249,0.29922179,101839.1634,0,1,6,,,,,,,,1,,,4,,2,,11,4,1,,6,2,3,16,,3,9,2,5,,,,,2,,,2,,1,4,6,3,10,3,1,2,,,15,1,,,,4,,,5,,,,,,1,,2,1,1,2,,,,,,,,,,1,1,5,23,1,2,2,,,,8,1,,,1,,,,2,,20,1,,1,,5,1,,,1,4,3,,1,1,,1,,,,,1,,,,2,1,,,,,1,,,1,1,1,,9,3,,1,,2,18,1,6,,,,,,,12,12,4,,1,,,,,,8,2,12,8,,1,1,,,2,,3,,,1,,1,,,1,,14,37,34,66,27,1,,,3,8,2,4,,,,,1,,4,,1,1,2,,,3,2,1,4,2,3,1,9,9,,2,1,4,,1,,,2,2,4,2,2,4,,1,1,5,,1,,1,,1,,994
2018,44,1,10,3.815298507,4.583395522,63.93283582,13.46399254,7.656156716,2.729477612,1.076865672,101487.7799,0,1,7,,2,,1,,,1,5,,4,3,1,4,,15,2,,2,8,1,4,16,,4,5,,3,1,1,3,2,4,,,1,,,4,4,4,4,5,1,2,,2,13,1,1,,1,,,,2,2,,4,1,,,,3,,1,1,,,,,6,,,,,,4,7,17,1,,,,,,10,2,,,1,1,1,2,1,,23,,1,2,,3,2,,3,,,8,,,,3,1,2,,,,,3,2,1,,2,,,,,1,,,1,1,,,7,1,,5,,1,16,,10,,1,,,,,8,3,1,,,,1,,,2,18,,21,9,,2,1,1,1,1,1,2,,,1,,,,,1,,13,40,52,60,31,,,,3,2,1,6,,,,,2,,3,,1,,,1,1,10,3,1,3,1,1,1,4,2,,1,1,7,1,1,,1,1,2,8,3,,4,1,,2,1,,,,,1,,1,818
2018,45,2,11,5.029185868,3.033486943,49.19662058,14.60967742,11.28632873,7.759139785,8.73640553,100033.6252,0,2,8,,2,1,,,,,3,,4,6,,1,,10,5,,1,11,1,3,23,,3,5,9,5,,,,,2,,1,1,,1,8,13,2,3,2,2,4,,2,17,3,,,2,,,,4,1,,4,1,,3,,3,,1,1,,,,,2,,,,,,1,5,38,1,,2,1,4,,12,5,,,1,1,,1,,,18,4,2,1,,1,1,1,3,,1,4,,2,,1,,2,1,,,1,5,1,,1,1,,2,,2,2,,,,,3,,5,2,1,4,,1,27,,16,,,1,,1,,16,5,5,,,,,,,1,15,2,17,11,2,1,,1,,3,1,6,,,,,,,,2,,15,63,40,73,20,,,,6,2,3,10,,1,,,1,,3,,4,,,1,,12,3,,5,3,5,2,2,10,,,,4,3,1,1,4,1,6,5,10,1,4,,1,2,1,,2,,,2,,1,809
2018,46,3,11,4.524959742,3.633333333,46.06280193,12.13687601,10.48743961,8.299838969,0.015780998,102292.3994,0,1,3,,2,,,,,,5,,3,2,,2,,17,,,1,8,2,2,12,,3,11,1,3,1,,2,2,4,2,1,4,,,8,7,3,3,6,1,5,,,22,1,,,,3,,,6,,,2,1,1,2,,3,5,,1,,,,,2,,1,,,,3,7,20,,,,2,2,,9,5,,1,,,1,1,2,,25,2,,,,2,1,3,,,,2,1,,,,,3,,,,,2,4,,,,,,,,1,1,,5,,2,,6,3,,2,,,28,3,14,,,,,,1,27,5,,,,,,,,5,17,,14,21,2,1,3,,,1,1,4,,,1,,,,1,,,13,47,30,94,24,,,2,3,1,4,13,,,,,2,,3,,3,,,1,,13,,1,2,3,4,,6,6,,1,2,3,1,5,,1,3,3,12,,,10,1,1,9,4,,3,1,,,,,993
